,campania,anio,sec_campania,texto_folleto,lugar_folleto,imagen_folleto,imagen_especificacion_folleto,vineta_especificacion_folleto,vineta_extendida_folleto,plataforma,estrategia,promocion,descripcion_promocion,criterio_corporativo,pedidos,Num_Prod_x_Campania,Nuevo_Prod_en_Campania
221677,2107,2021,7,False,Varias páginas,False,False,False,True,Plataforma interior,Power,Promo,False,Top Corp,1203.0,4176,True
225850,2108,2021,8,True,Varias páginas,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,366.0,4269,True
230116,2109,2021,9,True,Varias páginas,False,False,False,True,Díptico,Exhibición,Regular,False,Top Corp,356.0,4020,True
234147,2110,2021,10,True,Varias páginas,False,False,False,True,Plataforma inicial,Power,Regular,False,Top Corp,284.0,4041,True
238187,2111,2021,11,True,Página,False,False,False,True,No Aplica,Power,Promo,False,Top Corp,1667.0,3912,True
242101,2112,2021,12,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,False,Top Corp,333.0,3916,True
246017,2113,2021,13,True,Varias páginas,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,849.0,3821,True
249838,2114,2021,14,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,False,Top Corp,567.0,4257,True
254095,2115,2021,15,False,Página,False,False,False,True,No Aplica,Power,Promo,False,Top Corp,2395.0,4171,True
258270,2116,2021,16,True,Varias páginas,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,642.0,4243,True
262513,2117,2021,17,True,Varias páginas,False,False,False,True,Plataforma inicial,Power,Regular,False,Top Corp,706.0,4709,True
267221,2118,2021,18,False,Página,False,False,False,True,No Aplica,Power,Promo,False,Top Corp,2308.0,4960,True
1417,1812,2018,12,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,660.0,4433,False
